paperID,imageID,size
,2006InfoVis,
2006InfoVis,10.1109@TVCG.2006.120,
10.1109@TVCG.2006.120,10.1109@TVCG.2006.120_06_00.jpg,1122765
10.1109@TVCG.2006.120,10.1109@TVCG.2006.120_06_01.jpg,1231389
10.1109@TVCG.2006.120,10.1109@TVCG.2006.120_06_02.jpg,797202
10.1109@TVCG.2006.120,10.1109@TVCG.2006.120_06_03.jpg,754008
10.1109@TVCG.2006.120,10.1109@TVCG.2006.120_06_04.jpg,5123412
10.1109@TVCG.2006.120,10.1109@TVCG.2006.120_06_05.jpg,2056869
2006InfoVis,10.1109@TVCG.2006.122,
10.1109@TVCG.2006.122,10.1109@TVCG.2006.122_06_00.jpg,3836910
10.1109@TVCG.2006.122,10.1109@TVCG.2006.122_06_01.jpg,1204668
10.1109@TVCG.2006.122,10.1109@TVCG.2006.122_06_02.jpg,2396796
10.1109@TVCG.2006.122,10.1109@TVCG.2006.122_06_03.jpg,7646619
10.1109@TVCG.2006.122,10.1109@TVCG.2006.122_06_04.jpg,3754680
10.1109@TVCG.2006.122,10.1109@TVCG.2006.122_06_05.jpg,1955340
2006InfoVis,10.1109@TVCG.2006.126,
10.1109@TVCG.2006.126,10.1109@TVCG.2006.126_13_00.jpg,486207
10.1109@TVCG.2006.126,10.1109@TVCG.2006.126_13_01.jpg,2136225
10.1109@TVCG.2006.126,10.1109@TVCG.2006.126_13_02.jpg,5609736
10.1109@TVCG.2006.126,10.1109@TVCG.2006.126_13_03.jpg,4629285
10.1109@TVCG.2006.126,10.1109@TVCG.2006.126_13_04.jpg,4581738
10.1109@TVCG.2006.126,10.1109@TVCG.2006.126_13_05.jpg,1632732
10.1109@TVCG.2006.126,10.1109@TVCG.2006.126_13_06.jpg,1087647
10.1109@TVCG.2006.126,10.1109@TVCG.2006.126_13_07.jpg,974304
10.1109@TVCG.2006.126,10.1109@TVCG.2006.126_13_08.jpg,3751200
10.1109@TVCG.2006.126,10.1109@TVCG.2006.126_13_09.jpg,683235
10.1109@TVCG.2006.126,10.1109@TVCG.2006.126_13_10.jpg,3127950
10.1109@TVCG.2006.126,10.1109@TVCG.2006.126_13_11.jpg,1886136
10.1109@TVCG.2006.126,10.1109@TVCG.2006.126_13_12.jpg,932085
2006InfoVis,10.1109@TVCG.2006.136,
10.1109@TVCG.2006.136,10.1109@TVCG.2006.136_05_00.jpg,684720
10.1109@TVCG.2006.136,10.1109@TVCG.2006.136_05_01.jpg,2067360
10.1109@TVCG.2006.136,10.1109@TVCG.2006.136_05_02.jpg,1181829
10.1109@TVCG.2006.136,10.1109@TVCG.2006.136_05_03.jpg,873873
10.1109@TVCG.2006.136,10.1109@TVCG.2006.136_05_04.jpg,368280
2006InfoVis,10.1109@TVCG.2006.138,
10.1109@TVCG.2006.138,10.1109@TVCG.2006.138_12_00.jpg,1394172
10.1109@TVCG.2006.138,10.1109@TVCG.2006.138_12_01.jpg,1365336
10.1109@TVCG.2006.138,10.1109@TVCG.2006.138_12_02.jpg,1095120
10.1109@TVCG.2006.138,10.1109@TVCG.2006.138_12_03.jpg,1220703
10.1109@TVCG.2006.138,10.1109@TVCG.2006.138_12_04.jpg,641760
10.1109@TVCG.2006.138,10.1109@TVCG.2006.138_12_05.jpg,1821942
10.1109@TVCG.2006.138,10.1109@TVCG.2006.138_12_06.jpg,1080540
10.1109@TVCG.2006.138,10.1109@TVCG.2006.138_12_07.jpg,1268013
10.1109@TVCG.2006.138,10.1109@TVCG.2006.138_12_08.jpg,167778
10.1109@TVCG.2006.138,10.1109@TVCG.2006.138_12_09.jpg,1225017
10.1109@TVCG.2006.138,10.1109@TVCG.2006.138_12_10.jpg,630000
10.1109@TVCG.2006.138,10.1109@TVCG.2006.138_12_11.jpg,1259064
2006InfoVis,10.1109@TVCG.2006.142,
